ues9151gs5,squ6245r,den,fra,1420564460,1049
ues9151gs5,xxq4064b,jfk,fra,1420563917,802
ezc9678qi6,soh3431a,ord,mia,1420563649,250
onl0812dh1,soh3431a,ord,mia,1420563649,250
cyj0225ch1,pme8178s,den,pek,1420564409,1322
pop2875lh3,mbw8071p,kul,pek,1420563856,572
wtc9125ie5,moo1786a,mad,fra,1420563408,184
edv2089lk5,hur0974o,den,pvg,1420564525,1398
ues9151gs5,gmo5938w,lhr,pek,1420564317,1057
hca3158qa6,xxq4064b,jfk,fra,1420563917,802
ymh6360yp0,dau2617a,cgk,sfo,1420564986,1811
pud8209og3,rum0422w,muc,mad,1420563539,194
paj3974rk1,att7791r,ams,den,1420564394,1001
ues9151gs5,wpw9201u,dfw,pek,1420564869,1452
wyu2010yh8,xxq4064b,jfk,fra,1420563917,802
jjm4724rf7,hur0974o,den,pvg,1420564525,1398
mxu9187yc7,xxq4064b,jfk,fra,1420563917,802
hgo4350kk1,rum0422w,muc,mad,1420563539,194
pud8209og3,mba8071p,kul,pek,1420563856,572
wtc9125ie5,dkz3042o,mia,sfo,1420563927,538
bwi0520bg6,qhu1140o,cdg,las,1420564498,1133
edv2089lk5,ulz8130d,can,dfw,1420564983,1683
jbe2302vo4,vyu9214i,ord,dxb,1420564716,1510
bwi0520bg6,hzt2506m,iah,ams,1420564324,1044
ymh6360yp0,rum0422w,muc,mad,1420563539,194
daz3029xa0,ewh6301y,can,dfw,1420564967,1683
pit2755xc1,soh3431a,ord,mia,1420563649,250
pop2875lh3,vyw5940p,las,sin,1420565203,1843
mxu9187yc7,qhu1140o,cdg,las,1420564498,1133
ezc9678qi6,vyu9214i,ord,dxb,1420564716,1510
cyj0225ch1,wsk1289z,clt,den,1420563542,278
daz3029xa0,tmv7633w,cgk,dxb,1420563958,849
ezc9678qi6,vyw5940p,las,sin,1420565203,1843
ckz3132br4,fyl5866l,atl,hkg,1420565140,1751
jbe2302vo4,squ6245r,den,fra,1420564460,1049
ues9151gs5,qhu1140o,cdg,las,1420564498,1133
wbe6935nu3,vyu9214i,ord,dxb,1420564716,1510
hca3158qa6,ber7172m,kul,las,1420565167,1848
edv2089lk5,wsk1289z,clt,den,1420563542,278
ieg9308ea5,soh3431a,ord,mia,1420563649,250
wyu2010yh8,jvy9791g,pvg,fco,1420564561,1189
sjd8775rz4,dau2617a,cgk,sfo,1420564986,1811
hca3158qa6,gmo5938w,lhr,pek,1420564317,1057
cdc0302nn5,jvy9791g,pvg,fco,1420564561,1189
bwi0520bg6,vdc9164w,fco,las,1420564698,1276
hca3158qa6,mba8071p,kul,pek,1420563856,572
kkp5277hz7,kjr6646j,iah,bkk,1420565203,1928
spr4484ha6,mba8071p,kul,pek,1420563856,572
ckz3132br4,pme8178s,den,pek,1420564409,1322
daz3029xa0,ulz8130d,can,dfw,1420564983,1683
ezc9678qi6,jvy9791g,pvg,fco,1420564561,1189
kkp5277hz7,pme8178s,den,pek,1420564409,1322
vzy2993me1,moo1786a,mad,fra,1420563408,184
hca3158qa6,qhu1140o,cdg,las,1420564498,1133
cyj0225ch1,gmo5938w,lhr,pek,1420564317,1057
jjm4724rf7,soh3431a,ord,mia,1420563649,250
ues9151gs5,yzo4444s,bkk,mia,1420565330,2027
jjm4724rf7,xil3623j,pek,lax,1420564414,1302
